HD01,DP01,NV01,01/10/2025,03/10/2025,800000,200000
HD02,DP02,NV02,05/10/2025,08/10/2025,1200000,300000
HD03,DP03,NV03,10/10/2025,12/10/2025,700000,150000
HD04,DP04,NV01,15/10/2025,18/10/2025,1000000,250000
HD05,DP05,NV02,20/10/2025,23/10/2025,1500000,400000
HD06,DP06,NV03,25/10/2025,27/10/2025,950000,180000
HD07,DP07,NV01,28/10/2025,30/10/2025,850000,220000
HD08,DP08,NV02,01/11/2025,04/11/2025,1300000,350000
HD09,DP09,NV03,02/11/2025,05/11/2025,1100000,270000
HD10,DP10,NV01,03/11/2025,06/11/2025,1450000,300000
